pitch start end duration velocity
C3 24.3864 24.9544 0.5680 102
F3 24.3896 24.9495 0.5599 101
G#2 24.3896 24.9544 0.5648 96
A4 25.0130 25.1367 0.1237 95
D5 25.0130 25.2718 0.2588 98
G2 25.0130 26.2207 1.2077 97
B4 25.1660 25.3060 0.1400 92
G4 25.3239 25.6315 0.3076 92
B2 25.6364 26.2158 0.5794 99
D3 25.6364 26.2174 0.5811 99
G3 25.6364 26.2174 0.5811 105
D5 25.6364 26.2207 0.5843 99
G4 25.6380 25.9408 0.3027 96
G4 25.9473 26.2158 0.2686 79
D4 25.9489 26.2174 0.2686 90
D#4 26.1035 26.2223 0.1188 88
C2 26.2630 26.5332 0.2702 88
C4 26.2646 26.5706 0.3060 96
G4 26.5739 27.1012 0.5273 100
G5 26.5739 27.5016 0.9277 97
D4 26.5755 26.7171 0.1416 99
D5 26.5755 27.0703 0.4948 93
D#4 26.7269 26.8506 0.1237 87
C4 26.8864 27.4609 0.5745 98
G2 26.8864 27.4658 0.5794 99
C3 26.8864 27.5016 0.6152 101
G5 27.5114 28.0322 0.5208 100
C3 27.5114 28.1071 0.5957 98
D5 27.5146 27.6644 0.1497 98
D#6 27.6676 27.8825 0.2148 75
D#5 27.6676 28.2113 0.5436 88
C5 27.8206 28.5124 0.6917 90
C4 28.1364 28.7158 0.5794 93
G3 28.1380 28.7093 0.5713 101
D#3 28.1429 28.7061 0.5632 95
G5 28.4489 28.7012 0.2523 99
C5 28.6051 28.7516 0.1465 87
C5 28.7614 28.9404 0.1790 95
G4 28.7646 28.9176 0.1530 94
F2 28.7679 29.3311 0.5632 88
G#4 28.9176 29.0544 0.1367 83
F4 29.0723 29.9512 0.8789 87
C3 29.3864 29.9512 0.5648 100
F3 29.3880 29.9495 0.5615 101
G#2 29.3880 29.9512 0.5632 94
A4 30.0114 30.1367 0.1253 95
D5 30.0114 30.3418 0.3304 97
G2 30.0114 30.8708 0.8594 95
B4 30.1644 31.2305 1.0661 89
G4 30.3223 30.6315 0.3092 87
G3 30.6364 30.9408 0.3044 101
D3 30.6364 31.2256 0.5892 98
D5 30.6364 31.2272 0.5908 98
G4 30.6380 30.9408 0.3027 96
B2 30.6396 31.2256 0.5859 98
G4 30.9473 31.2256 0.2783 79
D4 30.9489 31.2256 0.2767 89
G3 30.9489 31.2256 0.2767 80
D#5 31.1035 31.5413 0.4378 80
D#4 31.1051 31.2305 0.1253 90
C4 31.2614 31.3607 0.0993 95
C2 31.2614 31.5999 0.3385 85
D4 31.5739 31.7074 0.1335 97
D5 31.5739 31.8506 0.2767 90
G4 31.5739 32.4512 0.8773 99
G5 31.5739 32.4707 0.8968 96
D#4 31.7269 31.8587 0.1318 83
D#5 31.7285 32.4707 0.7422 73
G2 31.8864 32.4658 0.5794 98
C4 31.8864 32.4674 0.5811 95
C3 31.8864 32.5016 0.6152 101
G4 32.5098 33.4408 0.9310 96
D4 32.5114 32.6481 0.1367 97
C3 32.5114 32.9704 0.4590 99
D5 32.5130 33.1104 0.5973 94
D#4 32.6628 33.1364 0.4736 86
D#5 32.6644 33.1706 0.5062 78
C4 32.8206 33.1217 0.3011 90
C3 32.9785 33.1331 0.1546 98
C4 33.1364 33.2861 0.1497 101
G3 33.2926 33.4473 0.1546 96
C3 33.4473 33.7419 0.2946 91
G4 33.4489 33.7516 0.3027 96
G5 33.4489 33.7516 0.3027 92
C4 33.6051 33.7419 0.1367 87
G5 33.7565 34.3311 0.5745 95
D4 33.7614 33.9079 0.1465 97
D5 33.7614 34.0120 0.2507 90
F2 33.7630 34.2204 0.4574 93
G4 33.7630 34.3018 0.5387 96
D#4 33.9176 34.0544 0.1367 85
D#5 33.9176 34.3311 0.4134 78
C4 34.0706 34.2627 0.1921 91
F2 34.2301 34.4108 0.1807 93
F3 34.3864 34.5166 0.1302 102
C3 34.5426 34.6729 0.1302 96
F2 34.6989 34.9854 0.2865 90
G5 34.6989 35.0016 0.3027 96
G4 34.7005 35.0016 0.3011 95
C4 34.8503 34.9919 0.1416 86
G2 35.0081 35.8203 0.8122 101
G5 35.0098 35.8822 0.8724 96
G4 35.0114 35.6315 0.6201 99
D5 35.0114 35.6315 0.6201 96
D#5 35.1644 35.5811 0.4167 76
D#4 35.1644 35.6217 0.4574 85
C4 35.3239 35.6315 0.3076 92
B3 35.6348 35.9033 0.2686 100
C4 35.6364 35.9408 0.3044 99
D3 35.6364 36.2077 0.5713 100
G3 35.6364 36.2077 0.5713 103
B2 35.6364 36.2093 0.5729 99
D5 35.6364 36.2305 0.5941 93
G4 35.6380 36.2158 0.5778 96
B3 35.9489 36.2158 0.2669 93
B4 35.9489 36.2907 0.3418 90
C4 36.1051 36.5999 0.4948 97
C2 36.2630 36.7008 0.4378 85
G5 36.5739 38.1217 1.5479 95
D4 36.5755 36.7155 0.1400 96
D5 36.5755 36.8311 0.2555 90
G4 36.5755 37.4512 0.8757 97
D#4 36.7269 36.8538 0.1270 85
G2 36.8864 37.4658 0.5794 98
C4 36.8864 37.4658 0.5794 95
C3 36.8864 37.5016 0.6152 99
C5 36.8880 37.8613 0.9733 94
C3 37.5130 37.9704 0.4574 100
D4 37.5146 37.6481 0.1335 97
D5 37.5146 38.1527 0.6380 94
G4 37.5146 38.4408 0.9261 98
D#4 37.6660 37.8092 0.1432 85
C4 37.8206 38.1315 0.3109 93
C3 37.9801 38.1283 0.1481 99
C4 38.1364 38.2829 0.1465 100
G3 38.2943 38.4473 0.1530 98
C3 38.4473 38.7435 0.2962 93
G4 38.4489 38.7012 0.2523 96
G5 38.4489 38.7516 0.3027 92
C4 38.6051 38.7435 0.1383 87
G5 38.7581 39.3506 0.5924 95
D4 38.7614 38.9079 0.1465 98
G4 38.7630 38.9079 0.1449 97
D5 38.7630 39.1911 0.4281 90
F2 38.7630 39.2204 0.4574 92
D#4 38.9176 39.0495 0.1318 86
D#5 38.9176 39.4613 0.5436 79
C4 39.0723 39.4027 0.3304 91
F2 39.2318 39.4320 0.2002 92
F3 39.3864 39.5166 0.1302 104
